"TCGA-AZ-4681-01A-01D-1407-05",2
"TCGA-QG-A5Z1-01A-11D-A28O-05",1
"TCGA-CK-6751-01A-11D-1837-05",4
"TCGA-DM-A288-01A-11D-A16X-05",1
"TCGA-DM-A28A-01A-21D-A16X-05",1
"TCGA-AZ-5403-01A-01D-1651-05",2
"TCGA-D5-6538-01A-11D-1721-05",4
"TCGA-F4-6569-01A-11D-1772-05",1
"TCGA-CM-6164-01A-11D-1651-05",2
"TCGA-AD-A5EK-01A-11D-A28O-05",4
"TCGA-G4-6306-01A-11D-1772-05",1
"TCGA-NH-A6GB-01A-11D-A36Y-05",4
"TCGA-DM-A1D0-01A-11D-A153-05",2
"TCGA-AD-6965-01A-11D-1926-05",1
"TCGA-CM-6168-01A-11D-1651-05",1
"TCGA-AZ-4313-01A-01D-1407-05",2
"TCGA-DM-A0XF-01A-11D-A153-05",3
"TCGA-CM-6677-01A-11D-1837-05",4
"TCGA-CM-6172-01A-11D-1651-05",1
"TCGA-D5-5539-01A-01D-1651-05",1
"TCGA-AZ-6605-01A-11D-1837-05",3
"TCGA-AA-3712-01A-21D-1721-05",3
"TCGA-QL-A97D-01A-12D-A40X-05",1
"TCGA-AD-6548-01A-11D-1837-05",4
"TCGA-AA-3697-01A-01D-1721-05",3
"TCGA-CM-4743-01A-01D-1721-05",4
"TCGA-AZ-4615-01A-01D-1407-05",4
"TCGA-G4-6302-01A-11D-1721-05",4
"TCGA-DM-A28H-01A-11D-A16X-05",1
"TCGA-D5-6931-01A-11D-1926-05",4
"TCGA-AA-3655-01A-02D-1721-05",3
"TCGA-A6-6653-01A-11D-1772-05",4
"TCGA-AA-3502-01A-01D-1407-05",4
"TCGA-A6-6781-01B-06D-A27A-05",3
"TCGA-D5-6924-01A-11D-1926-05",3
"TCGA-D5-6536-01A-11D-1721-05",3
"TCGA-CK-6747-01A-11D-1837-05",1
"TCGA-A6-4105-01A-02D-1772-05",4
"TCGA-AZ-4315-01A-01D-1407-05",1
"TCGA-CM-5864-01A-01D-1651-05",1
"TCGA-AD-6895-01A-11D-1926-05",4
"TCGA-DM-A282-01A-12D-A16X-05",1
"TCGA-AA-3663-01A-01D-1721-05",4
"TCGA-A6-6142-01A-11D-1772-05",2
"TCGA-AZ-4614-01A-01D-1407-05",4
"TCGA-A6-2684-01C-08D-A27A-05",3
"TCGA-A6-3809-01A-01D-A27A-05",4
"TCGA-AY-6386-01A-21D-1721-05",4
"TCGA-A6-6651-01A-21D-1837-05",2
"TCGA-CA-6715-01A-21D-1837-05",2
"TCGA-D5-6930-01A-11D-1926-05",4
"TCGA-F4-6807-01A-11D-1837-05",1
"TCGA-CM-6166-01A-11D-1651-05",1
"TCGA-A6-2679-01A-02D-1407-05",4
"TCGA-F4-6460-01A-11D-1772-05",2
"TCGA-AA-3488-01A-01D-1407-05",3
"TCGA-DM-A28F-01A-11D-A16X-05",3
"TCGA-A6-A56B-01A-31D-A28O-05",1
"TCGA-AZ-6606-01A-11D-1837-05",4
"TCGA-AA-3494-01A-01D-1407-05",2
"TCGA-AD-6889-01A-11D-1926-05",4
"TCGA-DM-A1HB-01A-22D-A17Z-05",4
"TCGA-D5-6927-01A-21D-1926-05",3
"TCGA-G4-6626-01A-11D-1772-05",2
"TCGA-G4-6310-01A-11D-1721-05",1
"TCGA-A6-6140-01A-11D-1772-05",2
"TCGA-AZ-6607-01A-11D-1837-05",1
"TCGA-G4-6315-01A-11D-1721-05",1
"TCGA-DM-A1D4-01A-21D-A153-05",4
"TCGA-CK-5912-01A-11D-1651-05",2
"TCGA-A6-2680-01A-01D-1407-05",1
"TCGA-CM-6170-01A-11D-1651-05",2
"TCGA-AA-3506-01A-01D-1407-05",1
"TCGA-A6-6654-01A-21D-1837-05",4
"TCGA-A6-5665-01B-03D-2299-05",4
"TCGA-A6-A566-01A-11D-A28O-05",4
"TCGA-CM-4747-01A-01D-1407-05",4
"TCGA-CM-6165-01A-11D-1651-05",3
