Participant,hypermut,WNT,TGF-beta,RTK,PI3K,P53,APC,CTNNB1,DKK1,DKK2,DKK3,DKK4,LRP5,FZD10,FAM123B,AXIN2,TCF7L2,FBXW7,ARID1A,SOX9,TGFBR1,TGFBR2,ACVR1B,ACVR2A,SMAD2,SMAD3,SMAD4,IGF2,IRS2,PIK3CA,PIK3R1,PTEN,ERBB2,ERBB3,KRAS,NRAS,BRAF,TP53,ATM
TCGA-AA-A00D,0,1,0,1,1,1,MUT,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,MUT,MUT,
TCGA-AA-A00F,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,MUT,,MUT,
TCGA-AA-A00K,0,1,1,1,0,0,MUT,,,,,,,,,,MUT,,,,,,,,HOMDEL,,HOMDEL and MUT,,,,,,,,MUT,,,,
TCGA-AA-A00L,0,1,0,0,1,1,MUT,,,,,,,UP,,,,,MUT,,,,,,,,,UP,,,,,,,,,,MUT,
TCGA-AA-A00O,0,1,0,0,1,1,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,MUT,
TCGA-AA-A00Q,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,MUT,,,,
TCGA-AA-A00U,0,1,0,0,1,0,MUT,MUT,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,
TCGA-AA-A00W,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-A00Z,0,1,0,0,1,0,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,
TCGA-AA-A017,0,1,0,0,1,0,MUT,,,,,,,,,,,,MUT,,,,,,,,,,UP,,,,,,,,,,
TCGA-AA-A01D,0,1,1,1,1,1,,,,,,,,,MUT,,,,,,,,,,,,MUT,,UP,,,,,,,,MUT,MUT,
TCGA-AA-A01F,0,1,0,1,0,1,MUT,,,,MUT,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-A01G,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,MUT,,,MUT,
TCGA-AA-A01I,0,1,0,1,1,0,MUT,,,,,,,,,,MUT,,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-A01K,0,1,0,1,1,1,MUT,MUT,,,,,,,,,,MUT,,,,,,,,,,,,MUT,,,,,MUT,,,MUT,
TCGA-AA-A024,0,1,1,1,0,0,MUT,,,,,,,,,,HOMDEL,MUT,,,,,,,MUT,,,,,,,,,,,MUT,,,
TCGA-AA-A029,0,1,1,1,0,0,MUT,,,,,,,,,,,,,,,MUT,MUT,,MUT,,,,,,,,,,MUT,,,,
TCGA-AA-A02F,0,1,1,1,1,1,MUT,,,,,,,UP,,MUT,,,,,,,,MUT,,,,,,,,HOMDEL,,,,MUT,,MUT,
TCGA-AA-A02H,0,1,0,0,1,1,MUT,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,MUT,
TCGA-AA-A02J,0,1,1,0,1,1,MUT,,,,,,,,,,,,,,,,MUT,,,,,UP,,,,,,,,,,MUT,
TCGA-AA-A02W,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AF-2689,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,MUT,,,MUT,
TCGA-AF-2691,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,MUT,,MUT,
TCGA-AF-2692,0,1,0,1,1,0,MUT,,,,,,,,,,MUT,,,,,,,,,,,UP,,,,,,,MUT,,,,
TCGA-AF-3400,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AF-3913,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,MUT,
TCGA-AG-3574,0,1,0,0,1,0,,,,,,,,UP,,,,,MUT,,,,,,,,,UP,,,,,,,,,,,
TCGA-AG-3575,0,1,0,1,0,1,,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3578,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,MUT,
TCGA-AG-3580,0,1,0,1,1,0,MUT,,,,,,,UP,,,,,,,,,,,,,,UP,,,,,,,MUT,,,,
TCGA-AG-3581,0,1,0,1,0,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3582,0,1,0,0,1,0,,,,MUT,,MUT,,,,,MUT,,,,,,,,,,,UP,,,,,,,,,,,
TCGA-AG-3583,0,1,0,1,1,0,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,MUT,,,,
TCGA-AG-3584,0,1,0,0,0,0,MUT,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AG-3586,0,1,1,1,1,0,MUT,,,,,,,UP,,MUT,,,,,,,HOMDEL,,,,HOMDEL and DOWN,,,,,HOMDEL,,,MUT,,,,
TCGA-AG-3587,0,1,1,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,DOWN,,,,,,,,,,,MUT,
TCGA-AG-3593,0,1,0,0,1,0,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,
TCGA-AG-3594,0,1,0,1,0,1,MUT,,,,,,,,,,MUT,MUT,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3598,0,1,1,0,0,1,MUT,,,,,,,,,,,,,,MUT,,,,,,,,,,,,,,,,,MUT,
TCGA-AG-3599,0,1,0,1,1,0,MUT,,MUT,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,,MUT,,,,
TCGA-AG-3600,0,1,0,1,0,1,,,,,,,,,,,,MUT,,,,,,,,,,,,,,,,MUT,,,,,MUT
TCGA-AG-3601,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AG-3602,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3605,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3608,0,1,1,0,0,1,,,,,,,,,,,,MUT,,,,,,,MUT,HOMDEL,,,,,,,,,,,,MUT,
TCGA-AG-3609,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AG-3611,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3612,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AG-3726,0,1,0,1,1,1,MUT,,,,,,,,,,MUT,,,,,,,,,,,,,,MUT,,,MUT,MUT,,,MUT,
TCGA-AG-3727,0,1,0,1,1,1,MUT,,,,,MUT,,,,,,,,,,,,,,,,UP,,,,,,,MUT,,,,MUT
TCGA-AG-3878,0,1,0,1,1,0,MUT,,,,,,,UP,,,,,MUT,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AG-3881,0,1,0,0,0,0,MUT,MUT,,,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,,
TCGA-AG-3882,0,1,0,0,0,1,MUT,,,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AG-3883,0,1,0,1,0,0,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,,,,,,
TCGA-AG-3887,0,1,1,1,1,0,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,,,,,MUT,,,,
TCGA-AG-3890,0,1,1,0,0,1,MUT,,,,,,,,,,,,,,,,,,MUT,,,,,,,,,,,,,MUT,
TCGA-AG-3893,0,1,1,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,HOMDEL,,,,,,,,,,,MUT,
TCGA-AG-3894,0,1,0,1,1,0,MUT,,,,,,,UP,,,,,,,,,,,,,,AMP and UP,,,,,,,,MUT,,,
TCGA-AG-3896,0,1,1,1,0,1,MUT,,,,,,,,MUT,,,,,,,,,,,MUT,,,,,,,,,MUT,,,MUT,
TCGA-AG-3898,0,1,0,1,0,1,MUT,,,,,,,,,,MUT,MUT,,,,,,,,,,,,,,,AMP and MUT,,,,,MUT,
TCGA-AG-3901,0,1,1,1,1,0,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,,MUT,,,MUT,,,,
TCGA-AG-3902,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,MUT,,,MUT,
TCGA-AG-3909,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-3999,0,1,0,1,1,1,MUT,,,,,,,UP,,,,,,,,,,,,,,UP,,,,,,,AMP and MUT,,,MUT,
TCGA-AG-4001,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AG-4005,0,1,1,1,1,1,MUT,,,,,,,,,MUT,,,,,,,,,,,MUT,,UP,,,,,,MUT,,,MUT,
TCGA-AG-4008,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-4015,0,1,0,0,1,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,,MUT,,,,,,,,MUT,
TCGA-AG-A008,0,1,1,1,1,0,MUT,,,,,,,,,,MUT,,,,,MUT,,,,,MUT,,,MUT,,,,,MUT,,,,
TCGA-AG-A00C,0,1,0,1,1,1,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,MUT,,,MUT,
TCGA-AG-A00H,0,1,0,1,1,1,,,,,,,,,,,,,MUT,,,,,,,,,,,MUT,,,,,MUT,,,HOMDEL,
TCGA-AG-A011,0,1,1,0,0,1,MUT,,,,,,,,,,,MUT,,,,,,,MUT,,MUT,,,,,,,,,,,MUT,
TCGA-AG-A014,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AG-A015,0,1,0,1,1,0,MUT,,,,,,,UP,,,,,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AG-A016,0,1,1,0,1,1,,,,,,,,,,,MUT,,,,,,,,,,MUT,,,MUT,,,,,,,,MUT,
TCGA-AG-A01L,0,1,1,1,1,1,MUT,,,,,,,,,,,,,,,,MUT,,,,,,UP,,,,,,,MUT,,MUT,
TCGA-AG-A025,0,1,0,1,1,0,MUT,,,,,,,,,,,,MUT,MUT,,,,,,,,,,,MUT,,,,MUT,,,,
TCGA-AG-A02G,0,1,0,1,1,0,MUT,,,,,,,,MUT,,,,,,,,,,,,,,UP,,,,,,,AMP,,,
TCGA-AG-A02X,0,1,1,1,1,1,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,,,,,MUT,,,MUT,
TCGA-AG-A032,0,1,0,1,0,1,MUT,,,,,,,,,,MUT,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AY-4070,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,UP,,,,,AMP,,,,,MUT,
TCGA-AY-4071,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-A6-2672,1,1,1,1,0,0,,,,,,,MUT,,,,,MUT,,,,,,MUT,,,,,,,,,,,,,MUT,,
TCGA-A6-2676,1,1,1,1,1,1,,,,MUT,,,,,,MUT,,MUT,MUT,,,,,,,,MUT,,,,,MUT,,,,,MUT,MUT,
TCGA-AA-3516,1,1,0,1,0,1,,,,,,,,,MUT,,,MUT,MUT,,,,,,,,,,,,,,,,,,MUT,,MUT
TCGA-AA-3518,1,1,1,0,0,1,,,,,,,,,,,,MUT,,,,,,MUT,,,,,,,,,,,,,,,MUT
TCGA-AA-3525,1,1,0,1,0,0,,,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,,MUT,,
TCGA-AA-3543,1,1,1,1,0,0,,,,,,,,,,,,MUT,,,,,,MUT,,,,,,,,,,,,,MUT,,
TCGA-AA-3554,1,1,0,0,1,0,MUT,,,MUT,,,,,MUT,,,,MUT,,,,,,,,,,,MUT,,,,,,,,,
TCGA-AA-3555,1,1,1,1,0,1,MUT,,,,,,,,,,,,MUT,,,,,,,,MUT,,,,,,,,MUT,,,,MUT
TCGA-AA-3672,1,1,1,1,0,0,,,,MUT,,,,,,MUT,MUT,MUT,,MUT,,MUT,,MUT,,,,,,,,,,MUT,MUT,,,,
TCGA-AA-3710,1,1,1,0,0,1,MUT,,,,,,,,,,,,,,,MUT,,MUT,,MUT,,,,,,,,,,,,,MUT
TCGA-AA-3715,1,1,1,1,1,0,MUT,,,MUT,,MUT,,,,MUT,MUT,,,,,MUT,MUT,MUT,,,,,,MUT,,,,MUT,MUT,,MUT,,
TCGA-AA-3821,1,1,1,1,0,0,,,MUT,,,,,,MUT,,,,,,,,,MUT,,,MUT,,,,,,,,,,MUT,,
TCGA-AA-3833,1,1,1,1,1,0,,,,,,,,UP,,,,MUT,,,,MUT,MUT,MUT,,,,,,,MUT,,,,,,MUT,,
TCGA-AA-3845,1,1,1,1,0,0,,,,,,,,,MUT,,,MUT,,,,MUT,,MUT,,,MUT,,,,,,,,MUT,,,,
TCGA-AA-3864,1,1,1,1,1,0,MUT,,,,,,,,MUT,,MUT,,,,,MUT,,,MUT,MUT,MUT,,,MUT,,MUT,MUT,MUT,MUT,MUT,,,
TCGA-AA-3877,1,0,1,1,1,0,,,,,,,,,,,,,,,,MUT,MUT,MUT,,,,,,MUT,,,,,,,MUT,,
TCGA-AA-3947,1,1,1,1,1,0,MUT,,MUT,,,,MUT,UP,,,MUT,,MUT,,,MUT,,MUT,,,,,,MUT,,,MUT,,,,MUT,,
TCGA-AA-3949,1,1,1,1,1,1,,,,,MUT,,,,,,MUT,MUT,,,,MUT,,MUT,,,,,,MUT,,,,,,,MUT,MUT,
TCGA-AA-3966,1,1,1,1,0,1,,,,,,,,UP,,,,,,,,MUT,,MUT,,,,,,,,,,,,,MUT,,MUT
TCGA-AA-3977,1,1,1,1,1,1,MUT,,,,,,,,MUT,,MUT,,,,,,,,MUT,,,,,MUT,,MUT,MUT,,MUT,,,MUT,MUT
TCGA-AA-3984,1,1,1,0,1,1,MUT,,,,,MUT,,UP,MUT,,MUT,MUT,MUT,MUT,,,,MUT,,MUT,MUT,,,,MUT,,,,,,,,MUT
TCGA-AA-A00A,1,1,0,1,0,0,MUT,,,,,,,,MUT,,,,MUT,,,,,,,,,,,,,,,MUT,MUT,,,,
TCGA-AA-A00E,1,1,1,0,0,1,,,,,,,,,,MUT,,,MUT,,,MUT,,,,,,,,,,,,,,,,MUT,
TCGA-AA-A00J,1,1,1,1,0,0,MUT,,,,,,,,,,,,MUT,,MUT,,MUT,MUT,,,,,,,,,,,,,MUT,,
TCGA-AA-A00N,1,1,1,1,1,1,MUT,MUT,,,,MUT,,,,,,,,,MUT,,,,MUT,,,,,MUT,,,,,MUT,MUT,,,MUT
TCGA-AA-A00R,1,1,1,1,1,0,MUT,,,,,,,,,,MUT,,,,MUT,,,MUT,,,,,UP,,,,,MUT,,,,,
TCGA-AA-A010,1,1,1,1,1,1,MUT,,,,,,,,MUT,MUT,MUT,,MUT,,MUT,MUT,MUT,MUT,,MUT,,,,MUT,MUT,MUT,,MUT,,,,MUT,MUT
TCGA-AA-A01Q,1,1,1,0,1,0,MUT,,,,,,MUT,,,,,MUT,,,,MUT,HOMDEL,,,,,,,MUT,,,,,,,,,
